Or was it the other game lol	11
Booooooo join BSM lol	11
Where do u suggest to move too	11
LOL	11
I ported lol	11
move where?	11
jadi berpikir untuk masuk stm atau gst	11
Then get more LOL	11
this other game i play agitates me because i can\'t rank up as fast like the rest of the team since i don\'t dump tons of money into it	11
Mau pindah gua	11
maybe I\'ll go on state of Survival. show them of a rank 1 alliance player running away. they probably start playing and become rank 1	11
bones check out Top War	11
i play another game thats mostly like this its called doomsday	11
Dont forget to join Thomas lol	11
tiếp tục vào trung tâm nào	11
Join	11
Moving away is a wise choice	11
Bên vie vẫn phát triển hơn nhiều	11
Thanks trying to relocate lol	11
kéo về hết rồi	11
another game do you play	11
only problem is the backup that comes with lol	11
hey Ruby tried out DoNations	11
i want to play King Mafia too someday, when its come out in my country 😑	11
going to rein jin	11
Vậy đưa đến hầm trú ẩn phVadim ải không @va	11
what other games you lot played ? mafia city was my first game, was in city 36, there was 2 big powerful Chinese players, Murder1 and JoJo	11
Easier to talk here to lol	11
Lol	11
ae việt nam về hết liên minh vnt đi	11
LOL	11
why not lol	11
Aww well lets change that! Go server 7! Lets get hyped! Whoop whoop! 😥	11
itu di perjalanan sangat jauh ayo pindah lokasi anda	11
saya akan segera pindah,saya sedang berburu😑	11
join gst i am sure you will progress a lot	11
we need that bridge to lol	11
World of asterra	11
Play starcraft 2, now that\'s stressful!	11
Go to server 5 as i told bubs, you guys can start whole new alliance there and grow.	11
Joinbrally guys	11
xấy qua đó lun nha	11
pindah saja bro, ke tempat yang banyak anggota stm b	11
When I\'m not on here I\'m on the grand mafia or myths of moonrise lol	11
So he can play other games	11
😳 but resist league of legends...and Ahri...I don\'t even play her and own most of her skins	11
sekarang ML dulu push rank gaes	11
SAN bro, if you want fun game 😥	11
@Zakirov50shades Присоединяйтесь к морской войне бро	11
No one ok back to my other game . Thanks	11
Cause I sure would love to convince the two one order leaders to join.	11
horass buat kalian semuanya	11
Ma cho quân vào nhà kia cho full	11
Welocme to join GNE and move your city to here bro😑	11
im done....i will join downtown. see ya there....lol😥	11
just leave your alliance and join our clan, it\'s open	11
Ya think the other game is done. This one is alot more active	11
làmquest xong chui qua đây ở Police, coi có gì ngon	11
pindah bro kesini	11
Vào thêm bên t này	11
move here guysss	11
normal just whats eveyone to leave BSM and join No1	11
Nó mà ko liên minh thì mình kiếm sòng bài thôi	11
where are we moving	11
Các bạn qua lord mobile :)) bên đó trung quốc rất giàu có :))	11
Bạn nên chuyển sang các liên minh mạnh hơn	11
Just saw lol	11
Mời sang vie éo sang	11
Quit your alliance and i’ll invite you	11
i will be back jumping on the other game, if by chance you are on it, look for SDN ATLAS FALLS Mystic Dragon lady, that\'s my sister..	11
iya sih dulu laku rise of the king ind9 bnyk	11
Vou sair para o top war até amanhã	11
will do..but looking at other servers now..you gave me an idea lol	11
Nghe đâu clan vna rally  yếu mấy ông siêng qua đây hết rồi	11
dont want to join blood?	11
join reli sebentar ayo bro	11
lol, i dont know...i just send invitation and free to join	11
definately diablo for a while lol	11
aku mau push ranked di Mobile Legends dulu bro	11
Bạn hãy chuyển thành phố của mình về khu vực liên minh	11
more drugs in Mexico so why dafukk you move lol	11
I think everyone in your STM should join GST	11
move here guys	11
someone mentioned earlier we are all moving there....?	11
liên minh tuyển người chơi lâu dài	11
rise of kingdoms	11
it\'s just that it\'s more convenient to play roblox, lol	11
nah come to Black Ops	11
Vào rl đi thangpham	11
Họ còn 1-2 người chơi thôi mấy người chuyển qua no1 rồi bạn	11
留在亡灵部落不好，加入这里	11
We have a spot open you dont have to be invited	11
cần vô lm vn	11
think they on the other game	11
either merge with us or move lol	11
The leader of VIE send me a mail, he invites me to be L5 of VIE,and then change VIE’s name to No1, do you think I should agree?	11
already in that one lol	11
liên minh bướm chúa nha	11
omg raver is really losing it....mod for the server. and he wants us to join them! 😥😥😥😥😥	11
Definitely lol	11
avakins life	11
hmm so just keep playing lol	11
nó kéo cả họ nó sang rồi	11
các bác có sang càn hội kia ko	11
Next lol	11
xoá game sang kia chơi đi bạn, bye :))	11
vào STM đi bạn	11
and they are all on the other game lol...time to bubble lol	11
mau pindah gak bro?	11
nah you stay over there BSM is just fine without you	11
hayu main ML bantuin naik mytik donk hahaha	11
vào liên minh có chiến tranh đấy	11
Move to hive	11
yall can look at the pretty fires over at pot/420	11
Dissolve your team and join us	11
someone got me on another dang game lol	11
come and join Black Ops	11
Play another strategy game. My opponent has a strength of 2 billion	11
Yes definately port out of here	11
Join NZL they are good	11
pindah kesini bubby	11
Still not leaving lol i aint scared ill just rebuild	11
Chơi game khác	11
oh jadi begitu game ini terlalu sepi apakan anda ada game lain selain ini	11
Ko bay đến nha cho tiết kiệm tí hàndichj chuyển :))	11
Nah come join STM, we better	11
vài ae cũng muốn sang sv mới	11
Lol seems cool though	11
ya ill move there before reset	11
Yo podo nang kene. Liane do haters kabeh 😥	11
as i said, again, always have room for you all in VIE, it easier to do the big events, and lots of gold too	11
Just join	11
Why not join BSM, we are about to be no.1 and here is still your alliance	11
Also pass lol	11
Kingofwar bay sang đây cho dễ chơi nè	11
về kênh liên minh đi ông	11
First you have to quit STM	11
vào zalo gạ kèo làm cái full rl cho phê :))	11
tieuhien919 joined NO1 lol no longer VIE lol crazy couldve easily replaced leader what a waste	11
Qua liên minh nè	11
ClN tạo nhóm zalo thui :))	11
Join server 4 its the best	11
T sang bên này k cho quâ đi d	11
Everyone relocate towerds Thunder no lose ends	11
how to play lol	11
Lol	11
ai vn vô liên minh VNS các ôg nhé	11
silahkan pindah kota kamu di dekat kami bro	11
We should try to get waka member to join lol	11
vs lại tele về khu liên minh đi	11
come here come all, we want you  at black ops and so does dic alliance	11
lol already have it planned	11
lol ya	11
join vie....cross bridge...then join us again	11
hãy tham gia vnt bạn sẽ không hối hạn	11
need to do T war on other game, going to start it	11
Lol i already began on another game	11
he wants more action and felt bsm was better for that.  they want all the actives here to join	11
I be back have to check other game	11
but you would grow faster if you didn\'t waist time on that silly game lol	11
kamu pindah kesini	11
But we need to get more members to move	11
quit and join here	11
Tôi đang nghĩ tới liên minh siêu cường quốc	11
Mình ko. Biết rời thành tới khu liên minh	11
why we dont play sea war?	11
guys play joint advance we have very low points like aleance	11
Exactly😩	11
Thats where your looking to move to	11
join STM guys	11
pindah kesini ganja, karena aku akan ikut reli terus dengan kamu bro	11
chơi bên kingdom qua	11
fellow countrymen.. cheers mate.. come join STM	11
join VNS	11
brb levying lol	11
Let\'s go lol	11
or join STM GUYS ANE GALS	11
ill show u my power on another game i play just like  this on line chat in private	11
Let me see if i canjoin your alliance-the other game seems faster	11
ok bro	11
check out my gta crew youll live the vids guys	11
yes, I\'m offline first. want to play another game. The problem is there are too many games on my cellphone and I\'m confused about what to play...?	11
off đi chợ đã	11
if you don\'t trust me just create a character in #5	11
how about clash of clans?	11
im tryin to get members from another game to join me here as well	11
bay về gần liên minh để tập hợp cho nhanh	11
But i mean go wild lol i be bored sometimes too lol but i go on another game lol	11
pantau trus bg jgn kasih kendoorr hehehhe	11
Whoever dont want join KE can move to safe house ya tomorowp	11
LOL indogs	11
Play league of legends that stressful and txic	11
jika anda bosan bergabunglah di obrolan dunia 😥😥	11
Prolly. Rn its 5 but 4 is the most active along with 3	11
ruby said they were asking us to join them.  if they can\'t get more to join them, we\'re on a bit of a roll	11
go play the gem game on here and think of me yeah	11
Ok rồi, chút nữa những ai sang bên vna đây	11
Playing games is waste of time technically speaking haha	11
Còn ae ở lại nhà cũ, thui kệ ráng tí, t đang xây ngã qua sòng phía dưới	11
How do yall like this game so far.. I play last fortess if yall have herd of it	11
Maybe they try take over lol	11
mangkanya saya pindah2	11
Liên minh nào vui vui cho mình tham gia với	11
Come on over to the Darkside guys	11
Sau vụ này tôi sẽ kiếm những người từ các clan khác để về clan ta	11
Ae ơi t thử sang bên kia xem phát triển nhanh nhé	11
lol already on my way 😠	11
Hahahahahaha! Buy yourself some LOL	11
i think you all should come join the awesomeness	11
WOW...man I almost want to jump ship and join SAN now	11
Nói rồi ae cứ qua 2 clan vna vie chơi thì tốt hơn	11
disband your alliance join STM	11
Cứ chơi 2 tải kaka	11
nah join Black Ops or our bro Dic	11
oh well. let him go to TNM.	11
Chuyển qua đây	11
Tải cái 1111 về thử xem	11
im tryin to bring some of my members here	11
and play some other game	11
Hnay bọn bạn réo cf liên qân cả ngày giờ mí về hahaa	11
Reverse recruitment	11
pindah kesini bro	11
Qua liên minh khác ý	11
ok off i go lol	11
để ăn xong cái sòng bạc đã, đi qua đó rùi ai xây bên này	11
Chạy sang đất bên này hết àh	11
damn im getting hit like twice in private an city to join other hives	11
i know bsm will take all that want to come	11
aku mau main Mobile Legends dulu gaes	11
O lol welcome to mafia	11
Liên minh kìa	11
pindah kesini bro😑	11
chuyển căn cứ liên minh đi chỗ khác nha ae	11
join ikut sini lah guys semua	11
Play Godfather😑	11
and move to hive	11
kenapa anda pindah kenapa tidak ikut ke san	11
vào liên minh t đi	11
join ke STM aja bro atau ke GST rame	11
guys wan to shift ?	11
Tôi nghĩ sẽ có hợp máy chủ khác lại với nhau	11
it will be lol	11
Or we could just go to all of them 😥	11
Chứ sang game rise of kingdom bác phải tìm hiểu tướng	11
Im in lol	11
Cùng lắm là đánh sòng bài bên cạnh thôi	11
move here guys	11
lol dont join them bro	11
SaM, please leave the alliance and go join SaM. She will make u leader. Once ur the leader hit me up. Their waiting. Please	11
Lol already did	11
or just join Black Ops	11
Not doing lol	11
less than 40 mins till that other game starts up lol	11
mobile legend	11
Slowly everyone from BRF is leaving to go with NO1	11
mai 11h đánh sòng bạc nhe	11
Good morning world come to BSM not No1 lol	11
Hay chuyển hết sang đeer nó thêm mod vào lm	11
But boss over here is promoted our alliance and wants you to join lol	11
well u should, bloody more addictive then this game.......naughty bones😸😥😥😥	11
Fuck server 4, I\'m going to server 7 🙀	11
